Gene,Importance
LOC442517,0.0
S100A15A,0.0
EIF4A2P4,0.0
OR4F2P,0.0
BRAFP1,0.0
HSPA8P7,0.0
LAMTOR5-AS1,0.0
FDPSP8,0.0
LINC01167,0.0
VN1R21P,0.0
MTCYBP21,0.0
TEX26-AS1,0.0
PCOLCE-AS1,0.0
FLVCR2-AS1,0.0
LINC01657,0.0
LEMD1-DT,0.0
LOC339685,0.0
LINC02671,0.0
NPIPA3,0.0
OR11M1P,0.0
E2F3-IT1,0.0
RPS17P13,0.0
LINC02931,0.0
LINC00307,0.0
THRAP3P1,0.0
RPL23AP43,0.0
IGHJ1P,0.0
RPL7AP22,0.0
MTND4P15,0.0
RPL26P8,0.0
RPL21P20,0.0
RPL31P19,0.0
LINC01364,0.0
HSFY3P,0.0
MARK2P10,0.0
MYOCD-AS1,0.0
KLLN,0.0
RPL6P4,0.0
GXYLT1P7,0.0
LINC01985,0.0
SMIM2-AS1,0.0
COPS8-DT,0.0
LOC100422325,0.0
LINC00845,0.0
TTC39DP,0.0
ZNF692-DT,0.0
SPANXB1,0.0
MTND1P14,0.0
LOC124902280,0.0
SPATA13-AS1,0.0
H3P45,0.0
WDR35-DT,0.0
DONSONP1,0.0
RPS8P4,0.0
RPL31P22,0.0
CSE1L-DT,0.0
H3P9,0.0
OR10U1P,0.0
PCGEM1,0.0
STK33P1,0.0
ACNATP,0.0
ZMYM4-AS1,0.0
AMYP1,0.0
KRT8P20,0.0
LINC01806,0.0
RPL37P1,0.0
RPL21P82,0.0
RPL15P1,0.0
RPL11P1,0.0
HPN-AS1,0.0
DLG1-AS1,0.0
RABGAP1L-DT,0.0
LOC105378073,0.0
LINC02936,0.0
GOLGA7B-DT,0.0
LOC102723324,0.0
RBM26-AS1,0.0
NANOGP6,0.0
CEACAMP7,0.0
MTND5P25,0.0
HNRNPKP2,0.0
PARG,0.0
HAUS6P1,0.0
EIF2AP4,0.0
ANHX,0.0
LOC107985640,0.0
WDR46,0.0
RPL6P2,0.0
MUC12-AS1,0.0
C14orf132,0.0
LINC01682,0.0
LOC285453,0.0
ITGB2-AS1,0.0
LINC00511,0.0
MTATP6P18,0.0
RPS2P36,0.0
SLC8A1-AS1,0.0
OR7E101P,0.0
WARS2P1,0.0
LINC02876,0.0
LINC01247,0.0
LOC124904542,0.0
HSPD1P14,0.0
LINC00658,0.0
LINC01203,0.0
RPL26P10,0.0
LINC01692,0.0
CENPCP1,0.0
LTA,0.0
MAGI2-AS2,0.0
PRKCZ-DT,0.0
MTCO1P21,0.0
POLE4P1,0.0
NCKAP5-AS2,0.0
OR7E96P,0.0
RPL31P12,0.0
ST7-AS1,0.0
IGHD4-23,0.0
MIR663AHG,0.0
TRGC2,0.0
MGAT3-AS1,0.0
RPL21P31,0.0
VN1R28P,0.0
TRPS1-AS1,0.0
WDR11-DT,0.0
LOC644909,0.0
LOC124902108,0.0
OR2T7,0.0
IL21-AS1,0.0
LINC00629,0.0
OTX2P2,0.0
ZNF717,0.0
HORMAD2-AS1,0.0
LINC01630,0.0
LMCD1-AS1,0.0
CRIP1P3,0.0
PARP1P1,0.0
PIGQP1,0.0
LOC107984195,0.0
LOC105373757,0.0
SLC6A17-AS1,0.0
LINC02798,0.0
FOCAD-AS1,0.0
EPS15-AS1,0.0
LOC117779438,0.0
LINC01153,0.0
MTND5P31,0.0
PKD1P2,0.0
LOC100129734,0.0
INKA2-AS1,0.0
LOC101927358,0.0
RPL21P90,0.0
IGHD4-17,0.0
MTND4LP9,0.0
RPS10P9,0.0
MTCYBP7,0.0
MTCO3P43,0.0
RPL7AP19,0.0
RPL7P12,0.0
NTRAS,0.0
OR10R1P,0.0
VTI1BP4,0.0
LINC01940,0.0
LOC729867,0.0
LINC02803,0.0
MTCO3P16,0.0
CYCSP5,0.0
LOC101927468,0.0
MTND6P5,0.0
RD3L,0.0
RPSAP64,0.0
MTND6P18,0.0
SDAD1P3,0.0
DNMBP-AS1,0.0
RPL23AP74,0.0
MED28P3,0.0
HMGN1P23,0.0
RPL37P9,0.0
LOC100420226,0.0
LINC01738,0.0
FRMD8P1,0.0
UQCRBP2,0.0
LINC01696,0.0
RPL3P2,0.0
SRGAP3-AS3,0.0
MACROD2-IT1,0.0
SPTLC1P5,0.0
KRT8P44,0.0
IL6ST-DT,0.0
SNAP25-AS1,0.0
WAPL-DT,0.0
UGT1A11P,0.0
PSMA2P3,0.0
LOC124901333,0.0
ATP6V0E1P4,0.0
ASS1P5,0.0
PSPC1P1,0.0
LOC100420572,0.0
MRLN,0.0
RPL23AP89,0.0
GRAMD4P1,0.0
TEX46,0.0
LOC105375387,0.0
MTND5P18,0.0
LOC101929626,0.0
SEPTIN2P1,0.0
PPIAP93,0.0
OR5P4P,0.0
OR4A2P,0.0
LINC03013,0.0
MYO1B-AS1,0.0
DNAJC9-AS1,0.0
SOCS5P4,0.0
AP1M2P1,0.0
SLC2A1-DT,0.0
DIAPH3-AS1,0.0
RPL7P6,0.0
RPS20P15,0.0
TUBB4BP8,0.0
LINC01483,0.0
LINC01442,0.0
LINC01624,0.0
SRP68P2,0.0
MROCKI,0.0
SCAMP4,0.0
LOC102723834,0.0
KIF1C-AS1,0.0
CCDC148-AS1,0.0
STK4-DT,0.0
RPL6P24,0.0
TSSK5P,0.0
AKR1B15,0.0
RPL39P16,0.0
LINC01537,0.0
PDE4B-AS1,0.0
LOC101927575,0.0
PSME2P6,0.0
LINC00310,0.0
LTB,0.0
HNRNPA3P2,0.0
LINC02088,0.0
LINC01068,0.0
LINC00355,0.0
CLYBL-AS2,0.0
MTND6P32,0.0
STEAP2-AS1,0.0
RPL7P54,0.0
SOX21-AS1,0.0
LINC01714,0.0
LINC01132,0.0
ALG1L8P,0.0
LOC105376292,0.0
CERS6-AS1,0.0
TRBV7-5,0.0
LINC01074,0.0
FRMPD3-AS1,0.0
TMEM183AP1,0.0
PTPRT-AS1,0.0
WASF1P1,0.0
PIGFP3,0.0
HSD11B1-AS1,0.0
CNTN4-AS2,0.0
MTND4P5,0.0
RPS3AP37,0.0
ADGRF5P1,0.0
RPS3AP53,0.0
LINC00376,0.0
RPS15AP30,0.0
MIR4290HG,0.0
QRSL1P2,0.0
IFNA20P,0.0
SORCS3-AS1,0.0
PARD3-DT,0.0
LINC01876,0.0
LINC01345,0.0
DCAF8L1,0.0
LINC00375,0.0
ST7-AS2,0.0
LINC02089,0.0
RPL10AP6,0.0
ACTG1P24,0.0
KRT8P38,0.0
VN2R10P,0.0
ZDHHC1P1,0.0
DANCR,0.0
NUP50-DT,0.0
RPSAP49,0.0
CROCC2,0.0
LINC01811,0.0
RPS3AP38,0.0
LINC00351,0.0
ZKSCAN8P1,0.0
MTCYBP12,0.0
CFLAR-AS1,0.0
SMARCE1P2,0.0
LOC101929073,0.0
RPSAP62,0.0
RAD23BP3,0.0
RPL17P14,0.0
RPS3AP10,0.0
TMEM252-DT,0.0
RPL26P27,0.0
C8orf90,0.0
LINC01824,0.0
RBM22P3,0.0
LOC101928627,0.0
RPL7L1P21,0.0
ADIPOQ-AS1,0.0
OR7H1P,0.0
TMEM185B,0.0
LINC01748,0.0
ADAM1B,0.0
RPL22P3,0.0
LOC105379699,0.0
CYP2D8P,0.0
MRPS21P5,0.0
NOTCH2P1,0.0
RPS12P9,0.0
H3P43,0.0
ANKRD18DP,0.0
USP17L7,0.0
RPL15P13,0.0
SLC25A5P5,0.0
SLC16A1-AS1,0.0
MRPL23-AS1,0.0
MTCYBP38,0.0
OR8T1P,0.0
LOC102723341,0.0
RPL23P11,0.0
RBMX2P1,0.0
LINC02909,0.0
RPL7AP51,0.0
FGFR3P6,0.0
LINC01375,0.0
CHP1P3,0.0
RPS27AP3,0.0
LINC02654,0.0
BAIAP2-DT,0.0
RPS3AP46,0.0
RPL26P9,0.0
PSMC1P12,0.0
LINC01907,0.0
FTCDNL1,0.0
DDC-AS1,0.0
FCF1P4,0.0
RPL36AP54,0.0
CDCA4P3,0.0
LINC02097,0.0
LOC101927769,0.0
RPL7P3,0.0
LINC00937,0.0
LINC03102,0.0
LOC124907763,0.0
EIF3LP3,0.0
RPL17P6,0.0
SLC39A12-AS1,0.0
RPS10P10,0.0
ETDB,0.0
LNCPOIR,0.0
LINC00951,0.0
LINC01776,0.0
ZNF503-AS1,0.0
SEPTIN7P3,0.0
OR52I2,0.0
LOC100129144,0.0
RPL12P10,0.0
PSPHP1,0.0
ARHGAP26-AS1,0.0
PHKBP1,0.0
GRM7-AS3,0.0
UBE2V2P1,0.0
PTP4A1P3,0.0
LINC02608,0.0
LINC00408,0.0
LOC105378044,0.0
KRT18P36,0.0
ZNF32-AS1,0.0
AP4B1-AS1,0.0
LINC00381,0.0
GAS1RR,0.0
LEMD1-AS1,0.0
KRT18P24,0.0
NPIPB14P,0.0
RPL26P19,0.0
RPL19P1,0.0
RPS12P5,0.0
WASH8P,0.0
LINC01733,0.0
LINC02519,0.0
TRIM64FP,0.0
LOC100129215,0.0
TEX22,0.0
LOC105378933,0.0
LOC100128601,0.0
LOC100996437,0.0
LOC100130137,0.0
LINC01941,0.0
R3HDML-AS1,0.0
LINC00619,0.0
MROH5,0.0
LCT-AS1,0.0
CACTIN-AS1,0.0
LOC105371856,0.0
MTND1P20,0.0
C13orf42,0.0
LINC02611,0.0
PGAM4,0.0
AVPR1B-DT,0.0
LINC00323,0.0
LINC03012,0.0
GAPDHP54,0.0
RPSAP33,0.0
SRRM5,0.0
TAS2R46,0.0
DAB1-AS1,0.0
DISC1-IT1,0.0
PP12613,0.0
MAGOH-DT,0.0
SMCR5,0.0
HSBP1L1,0.0
LINC02554,0.0
SNRPGP12,0.0
LOC100505985,0.0
TMEM256P2,0.0
FAM30A,0.0
RPS4XP2,0.0
LCEP4,0.0
MTNAP1P1,0.0
RNF207-AS1,0.0
ALG1L5P,0.0
CEP164P1,0.0
LINC00161,0.0
PDZPH1P,0.0
IL1R1-AS1,0.0
LINC00454,0.0
LINC01276,0.0
RPL19P4,0.0
BSN-DT,0.0
H2BP6,0.0
LINC02774,0.0
LINC01359,0.0
ERVMER34-1,0.0
RPS29P10,0.0
SMYD3-AS1,0.0
TRPC6P10,0.0
LHFPL3-AS1,0.0
THORLNC,0.0
RPSAP17,0.0
ZNF277-AS1,0.0
LINC00348,0.0
EEF1GP3,0.0
ARHGAP29-AS1,0.0
LOC100505774,0.0
MED15P3,0.0
LOC105375341,0.0
LINC00354,0.0
NOP56P2,0.0
RBM17P1,0.0
RPL13AP16,0.0
RPL13AP27,0.0
LINC00343,0.0
RPL21P110,0.0
OR52M2P,0.0
SNX30-DT,0.0
IFNWP9,0.0
UBE2V1P5,0.0
LINC02848,0.0
LOC102723690,0.0
LINC00606,0.0
CYP4F26P,0.0
PABPC1L2B-AS1,0.0
LOC646804,0.0
SSU72P1,0.0
RPL27P3,0.0
RPL7P22,0.0
RPL36P10,0.0
BTBD9-AS1,0.0
LOC101928107,0.0
RPS7P10,0.0
FAM138B,0.0
UPK1A-AS1,0.0
LINC01918,0.0
LOC101929551,0.0
USF1P1,0.0
RPSAP21,0.0
LINC02549,0.0
NPM1P49,0.0
HRGP2,0.0
LINC00424,0.0
PTPRD-DT,0.0
LINC01709,0.0
FAM66C,0.0
FGF12-AS3,0.0
LOC101928525,0.0
SDCBPP1,0.0
LENG8-AS1,0.0
C7orf78,0.0
ENTPD1-AS1,0.0
LINC01535,0.0
LOC124907913,0.0
LINC02679,0.0
SHANK2-AS1,0.0
LINC01108,0.0
LOC100420647,0.0
MTND4P10,0.0
CHMP1AP1,0.0
TRBV2,0.0
TSPAN14-AS1,0.0
OR13Z1P,0.0
KIF4B,0.0
PLCG1-AS1,0.0
RPL7P37,0.0
BUD13-DT,0.0
ACTG1P12,0.0
PPIAP28,0.0
SLC9A3P3,0.0
LINC00974,0.0
TEX41,0.0
